@bjb|北京北|VAP
@bjd|北京东|BOP
@bji|北京|BJP
@bjn|北京南|VNP
@bjx|北京大兴|IPP
@bjx|北京西|BXP
@bjy|北京朝阳|IFP
@cqb|重庆北|CUW
@cqi|重庆|CQW
@cqn|重庆南|CRW
@cqx|重庆西|CXW
@sha|上海|SHH
@shn|上海南|SNH
@shq|上海虹桥|AOH
@shx|上海西|SXH
@tjb|天津北|TBP
@tji|天津|TJP
@tjn|天津南|TIP
@tjx|天津西|TXP
@wxi|万象|YTM
@bji|滨江|BJB
@bla|百浪|BRZ
@bmq|班猫箐|BNM
@byi|北营|BIV
@cch|长春|CCT
@ccn|长春南|CET
@ccx|长春西|CRT
@cdd|成都东|ICW
@cdn|成都南|CNW
@cdu|成都|CDW
@cdx|成都西|CMW
@cgy|陈官营|CAJ
@cqi|长清|CNK
@csh|长沙|CSQ
@csn|长沙南|CWQ
@csx|长沙西|RXQ
@czh|常庄|CVK
@dch|大成|DCT
@dni|大拟|DNZ
@dsp|读书铺|DPM
@dwt|大王滩|DZZ
@dyu|大元|DYZ
@fsc|丰水村|FSJ
@fzh|福州|FZS
@fzn|福州南|FYS
@gcd|甘草店|GDJ
@gch|钢城|GAK
@gjz|孤家子|GKT
@gnw|广南卫|GNM
@gya|贵阳|GIW
@gyb|贵阳北|KQW
@gyd|贵阳东|KEW
@gzb|广州北|GBQ
@gzd|广州东|GGQ
@gzh|广州|GZQ
@gzn|广州南|IZQ
@gzx|广州西|GXQ
@gzy|广州白云|GBA
@heb|哈尔滨北|HTB
@heb|哈尔滨|HBB
@hed|哈尔滨东|VBB
@hex|哈尔滨西|VAB
@hfc|合肥北城|COH
@hfe|合肥|HFH
@hfn|合肥南|ENH
@hgt|皇姑屯|HTT
@hhd|呼和浩特东|NDC
@hht|呼和浩特|HHC
@hkd|海口东|HMQ
@hko|海口|VUQ
@hzd|杭州东|HGH
@hzh|杭州|HZH
@hzn|杭州南|XHH
@jmc|金马村|JMM
@jna|济南|JNK
@jnd|济南东|MDK
@jnx|济南西|JGK
@kmi|昆明|KMM
@kmn|昆明南|KOM
@lch|历城|VHK
@ljl|蔺家楼|ULK
@lqs|龙泉寺|UQJ
@lsa|拉萨|LSO
@lsc|乐善村|LUM
@lsp|林盛堡|LBT
@ltx|骆驼巷|LTJ
@lwb|莱芜北|VIK
@lzd|兰州东|LVJ
@lzh|兰州|LZJ
@lzq|兰州新区|LQJ
@lzx|兰州西|LAJ
@msz|茂舍祖|MOM
@ncd|南昌东|NUG
@nch|南昌|NCG
@ncn|南昌南|HOG
@ncu|宁村|NCZ
@ncx|南昌西|NXG
@nji|南京|NJH
@njn|南京南|NKH
@nlu|那罗|ULZ
@nnb|南宁北|NRZ
@nnd|南宁东|NFZ
@nni|南宁|NNZ
@nnx|南宁西|NXZ
@npu|那铺|NPZ
@nqu|暖泉|NQJ
@pdx|坡底下|PXJ
@qdi|七甸|QDM
@sby|世博园|ZWT
@sjb|石家庄北|VVP
@sjd|石家庄东|SXP
@sjt|邵家堂|SJJ
@sjz|石家庄|SJP
@sjz|施家嘴|SHM
@sya|沈阳|SYT
@syb|沈阳北|SBT
