# 西安高铁网络数据（完整版）
# 格式:
#   站点: S <id> <站名> <电报码>
#   线路: E <起点id> <终点id>
#
# 共有 3173 个站点，17968 条连接

S 0 乐清 XXX
S 1 青田 XXX
S 2 龙市 XXX
S 3 鲁山 XXX
S 4 海口 XXX
S 5 武威南 XXX
S 6 哈密 XXX
S 7 忻州 XXX
S 8 宝清 XXX
S 9 孟关 XXX
S 10 原林 XXX
S 11 太和东 XXX
S 12 昆明 XXX
S 13 塔崖驿 XXX
S 14 武胜 XXX
S 15 重  庆西 XXX
S 16 古城东 XXX
S 17 将乐 XXX
S 18 沭阳 XXX
S 19 猴山 XXX
S 20 成  都东 XXX
S 21 江都 XXX
S 22 鹰潭 XXX
S 23 安化 XXX
S 24 北井子 XXX
S 25 支提山 XXX
S 26 安广 XXX
S 27 都昌 XXX
S 28 杨源 XXX
S 29 汤阴 XXX
S 30 郫县 XXX
S 31 中川机场 XXX
S 32 建宁县北 XXX
S 33 白文东 XXX
S 34 阳明堡 XXX
S 35 含山南 XXX
S 36 甘洛南 XXX
S 37 石人 XXX
S 38 平房 XXX
S 39 宜耐 XXX
S 40 蒙山 XXX
S 41 园墩 XXX
S 42 杨柳青 XXX
S 43 尼勒克 XXX
S 44 富川 XXX
S 45 西双版纳 XXX
S 46 范镇 XXX
S 47 钟家村 XXX
S 48 大林 XXX
S 49 永安乡 XXX
S 50 经棚 XXX
S 51 贺家店 XXX
S 52 曲靖北 XXX
S 53 干塘 XXX
S 54 太仓 XXX
S 55 乐昌东 XXX
S 56 沧州 XXX
S 57 庙阳 XXX
S 58 新李 XXX
S 59 泊头 XXX
S 60 北滩 XXX
S 61 许昌北 XXX
S 62 睢宁 XXX
S 63 黑冲滩 XXX
S 64 金塔 XXX
S 65 固始 XXX
S 66 平度西 XXX
S 67 百色 XXX
S 68 泗水 XXX
S 69 莒南 XXX
S 70 延安 XXX
S 71 遵义南 XXX
S 72 帽儿山西 XXX
S 73 扶沟南 XXX
S 74 邵家堂 XXX
S 75 磐安镇 XXX
S 76 古北口 XXX
S 77 播明 XXX
S 78 榆中 XXX
S 79 古丈西 XXX
S 80 河口南 XXX
S 81 威箐 XXX
S 82 武穴北 XXX
S 83 扎囊 XXX
S 84 张家界 XXX
S 85 应城 XXX
S 86 石湖 XXX
S 87 新晃西 XXX
S 88 宾阳 XXX
S 89 扎鲁特 XXX
S 90 瑞安 XXX
S 91 神木 XXX
S 92 安庆沟 XXX
S 93 新桥 XXX
S 94 北京东 XXX
S 95 云山 XXX
S 96 治江 XXX
S 97 运城 XXX
S 98 盐城 XXX
S 99 泉州南 XXX
S 100 益阳 XXX
S 101 温岭 XXX
S 102 正镶白旗 XXX
S 103 拉萨 XXX
S 104 萧县北 XXX
S 105 山城镇 XXX
S 106 双吉 XXX
S 107 西桐古 XXX
S 108 黄羊滩 XXX
S 109 漠河 XXX
S 110 临江场 XXX
S 111 春申 XXX
S 112 新化 XXX
S 113 禹城东 XXX
S 114 天门南 XXX
S 115 西柳 XXX
S 116 石嘴山 XXX
S 117 大荔 XXX
S 118 甸心 XXX
S 119 灵宝西 XXX
S 120 武义北 XXX
S 121 海石湾 XXX
S 122 王府 XXX
S 123 龙塘坝 XXX
S 124 安亭北 XXX
S 125 太仓南 XXX
S 126 墨玉 XXX
S 127 临河 XXX
S 128 圣浪 XXX
S 129 葫芦岛 XXX
S 130 麻城北 XXX
S 131 博罗北 XXX
S 132 泗县 XXX
S 133 神池 XXX
S 134 八面城 XXX
S 135 绿潭 XXX
S 136 晋州 XXX
S 137 龙南东 XXX
S 138 嵊州北 XXX
S 139 水洞 XXX
S 140 巴中 XXX
S 141 宁海 XXX
S 142 渭南镇 XXX
S 143 呼兰 XXX
S 144 开化 XXX
S 145 金沟屯 XXX
S 146 秦王川 XXX
S 147 贵阳北 XXX
S 148 秦家庄 XXX
S 149 鄱阳北 XXX
S 150 滕州 XXX
S 151 苏州新区 XXX
S 152 临平南 XXX
S 153 上海西 XXX
S 154 泰安 XXX
S 155 花湖 XXX
S 156 宝老山 XXX
S 157 金山 XXX
S 158 三阳川 XXX
S 159 缙云 XXX
S 160 灯塔 XXX
S 161 洞庙河 XXX
S 162 寿县 XXX
S 163 富顺 XXX
S 164 临城 XXX
S 165 哈拉苏 XXX
S 166 定州东 XXX
S 167 昂乃 XXX
S 168 莲江口 XXX
S 169 齐河 XXX
S 170 玉林 XXX
S 171 淄博北 XXX
S 172 常平南 XXX
S 173 大民屯 XXX
S 174 南木 XXX
S 175 绿化 XXX
S 176 梁山 XXX
S 177 廊坊北 XXX
S 178 和硕 XXX
S 179 眉山东 XXX
S 180 舒城 XXX
S 181 新凉 XXX
S 182 边沟 XXX
S 183 三穗 XXX
S 184 丹霞山 XXX
S 185 保家楼 XXX
S 186 绩溪县 XXX
S 187 峨山 XXX
S 188 宿迁 XXX
S 189 七苏木 XXX
S 190 毛坝关 XXX
S 191 滨海 XXX
S 192 七台河西 XXX
S 193 阿南庄 XXX
S 194 嘉峪关南 XXX
S 195 欧里 XXX
S 196 连山关 XXX
S 197 自贡北 XXX
S 198 山市 XXX
S 199 百里峡 XXX
S 200 宁安 XXX
S 201 奎山 XXX
S 202 正定机场 XXX
S 203 河口北 XXX
S 204 党武 XXX
S 205 嵯岗 XXX
S 206 桥西 XXX
S 207 盖州 XXX
S 208 化念 XXX
S 209 中卫 XXX
S 210 花溪南 XXX
S 211 修文县 XXX
S 212 董家口 XXX
S 213 尔赛河 XXX
S 214 野三关 XXX
S 215 资中北 XXX
S 216 东莞南 XXX
S 217 韦庄 XXX
S 218 达拉特西 XXX
S 219 清镇西 XXX
S 220 东胜西 XXX
S 221 屏南 XXX
S 222 黎塘 XXX
S 223 天门 XXX
S 224 师宗 XXX
S 225 虎尔虎拉 XXX
S 226 西丰 XXX
S 227 岳池 XXX
S 228 永康南 XXX
S 229 平洋 XXX
S 230 扶绥南 XXX
S 231 立志 XXX
S 232 饮马峡 XXX
S 233 大连 XXX
S 234 普洱渡 XXX
S 235 潜山 XXX
S 236 阿克苏 XXX
S 237 宁强南 XXX
S 238 绥中北 XXX
S 239 乌海 XXX
S 240 离堆公园 XXX
S 241 梨树镇 XXX
S 242 榆树屯 XXX
S 243 唐山 XXX
